Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Shaw Street,West,A point 15 metres south of College Street and a point 15 metres north of College Street,Anytime,"{'start_intersection': 'A point 15 metres south of College Street', 'distance': '15', 'direction': 'north', 'offset_intersection': 'College Street', 'rule_type': 'intersect_to_offset'}"
Nelson Street,North,John Street and a point 29.5 metres east,Anytime,"{'start_intersection': 'John Street', 'distance': '29.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Beaconsfied Avenue,East,Afton Avenue and Dundas Street West,"Anytime from the 16th day to the last day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Afton Avenue', 'end_intersection': 'Dundas Street West', 'rule_type': 'block'}"
Beaconsfied Avenue,East,Queen Street West and Afton Avenue,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive, and from the 16th day to the last day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Queen Street West', 'end_intersection': 'Afton Avenue', 'rule_type': 'block'}"
Ruskin Avenue,North,A point 36.8 metres west of Franklin Avenue and a point 11 metres further west,"6:00 p.m. of one day to 8:00 a.m. of the next following day, Mon. to Fri.; Anytime Sat. and Sun.","{'dist1': '36.8', 'dir1': 'west', 'start_intersection': 'Franklin Avenue', 'dist2': '11', 'rule_type': 'relative_extension'}"
Roehampton Avenue,North,Redpath Avenue and Bayview Avenue,Anytime,"{'start_intersection': 'Redpath Avenue', 'end_intersection': 'Bayview Avenue', 'rule_type': 'block'}"
Beaconsfied Avenue,West,Afton Avenue and Dundas Street West,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive, and from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Afton Avenue', 'end_intersection': 'Dundas Street West', 'rule_type': 'block'}"
Beaconsfied Avenue,West,Queen Street West and Afton Avenue,"Anytime from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Queen Street West', 'end_intersection': 'Afton Avenue', 'rule_type': 'block'}"
Ruskin Avenue,North,Edwin Avenue and a point 47.8 metres west of Franklin Avenue,Anytime,"{'start_intersection': 'Edwin Avenue', 'distance': '47.8', 'direction': 'west', 'offset_intersection': 'Franklin Avenue', 'rule_type': 'intersect_to_offset'}"
Ruskin Avenue,North,Franklin Avenue and a point 36.8 metres west,Anytime,"{'start_intersection': 'Franklin Avenue', 'distance': '36.8', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Claxton Boulevard (south roadway),South,Bathurst Street and a point 70 metres west,Anytime,"{'start_intersection': 'Bathurst Street', 'distance': '70', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Ashdale Avenue,West,A point 35 metres south of Fairford Avenue and a point 9.5 metres further south,"Anytime from Sept. 1 of one year to Jun. 30 of the next following year, inclusive, except public holidays","{'dist1': '35', 'dir1': 'south', 'start_intersection': 'Fairford Avenue', 'dist2': '9.5', 'rule_type': 'relative_extension'}"
Jackes Avenue,South,A point 33 metres east of Yonge Street and the east end of Jackes Avenue,Anytime,"{'distance': '33', 'direction': 'east', 'start_intersection': 'Yonge Street', 'end_intersection': 'the east end of Jackes Avenue', 'rule_type': 'offset_to_intersect'}"
Dieppe Road,South,St. Hubert Avenue and Greenwood Avenue,Anytime,"{'start_intersection': 'St. Hubert Avenue', 'end_intersection': 'Greenwood Avenue', 'rule_type': 'block'}"
Rosemount Avenue,South,A point 33.4 metres west of Dufferin Street and a point 107.8 metres further west,"8:00 a.m. to 3:00 p.m., Mon. to Fri.","{'dist1': '33.4', 'dir1': 'west', 'start_intersection': 'Dufferin Street', 'dist2': '107.8', 'rule_type': 'relative_extension'}"
Erie Street,West,Falstaff Avenue and a point 26 metres south,Anytime,"{'start_intersection': 'Falstaff Avenue', 'distance': '26', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Ashdale Avenue,West,A point 44.5 metres south of Fairford Avenue and a point 26 metres further south,"9:30 a.m. to 11:00 a.m., 1:00 p.m. to 3:00 p.m. Mon. to Fri., from Sept. 1 of one year to Jun. 30 of the next following year, inclusive, except public holidays","{'dist1': '44.5', 'dir1': 'south', 'start_intersection': 'Fairford Avenue', 'dist2': '26', 'rule_type': 'relative_extension'}"
Browning Avenue,North,Arundel Avenue and Logan Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri., from the 16th day to the last day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Arundel Avenue', 'end_intersection': 'Logan Avenue', 'rule_type': 'block'}"
Browning Avenue,South,Arundel Avenue and Logan Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri., from Dec. 1 of one year to Mar. 31 of the next following year, inclusive, and from the 1st day to the 15th day of each month from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Arundel Avenue', 'end_intersection': 'Logan Avenue', 'rule_type': 'block'}"
Torbarrie Road,East,Judy Sgro Avenue and a point 30 metres north,Anytime,"{'start_intersection': 'Judy Sgro Avenue', 'distance': '30', 'direction': 'north', 'rule_type': 'perfect_offset'}"
King Georges Road,North,Prince Edward Drive North and The Kingsway,Anytime,"{'start_intersection': 'Prince Edward Drive North', 'end_intersection': 'The Kingsway', 'rule_type': 'block'}"
King Georges Road,South,Prince Edward Drive North and Kings Lynn Road,Anytime,"{'start_intersection': 'Prince Edward Drive North', 'end_intersection': 'Kings Lynn Road', 'rule_type': 'block'}"
Ashdale Avenue,West,A point 70.5 metres south of Fairford Avenue and a point 9.5 metres further south,"Anytime from Sept. 1 of one year to Jun. 30 of the next following year, inclusive, except public holidays","{'dist1': '70.5', 'dir1': 'south', 'start_intersection': 'Fairford Avenue', 'dist2': '9.5', 'rule_type': 'relative_extension'}"
Cosburn Avenue,North,A point 114 metres west of Pape Avenue and a point 11 metres further west,Anytime (car-share vehicles excepted),"{'dist1': '114', 'dir1': 'west', 'start_intersection': 'Pape Avenue', 'dist2': '11', 'rule_type': 'relative_extension'}"
Mortimer Avenue,North,Broadview Avenue and Pape Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Broadview Avenue', 'end_intersection': 'Pape Avenue', 'rule_type': 'block'}"
Gledhill Avenue,West,Danforth Avenue and a point 79 metres north,Anytime,"{'start_intersection': 'Danforth Avenue', 'distance': '79', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Kingston Road,North,Malvern Avenue and a point 28.5 metres east,Anytime,"{'start_intersection': 'Malvern Avenue', 'distance': '28.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Jopling Avenue North,East,Mattice Avenue and a point 86.2 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Mattice Avenue', 'distance': '86.2', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Mortimer Avenue,South,Binswood Avenue and Knight Street,Anytime,"{'start_intersection': 'Binswood Avenue', 'end_intersection': 'Knight Street', 'rule_type': 'block'}"
Mortimer Avenue,South,Woodbine Avenue and Woodmount Avenue,Anytime,"{'start_intersection': 'Woodbine Avenue', 'end_intersection': 'Woodmount Avenue', 'rule_type': 'block'}"
Christie Street,East,A point 94.5 metres north of Bloor Street West and Barton Avenue,Anytime,"{'distance': '94.5', 'direction': 'north', 'start_intersection': 'Bloor Street West', 'end_intersection': 'Barton Avenue', 'rule_type': 'offset_to_intersect'}"
Lansdowne Avenue,East,Bloor Street West and a point 15 metres north of Wade Avenue,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '15', 'direction': 'north', 'offset_intersection': 'Wade Avenue', 'rule_type': 'intersect_to_offset'}"
Lansdowne Avenue,East,Paton Road and a point 36.6 metres north,Anytime,"{'start_intersection': 'Paton Road', 'distance': '36.6', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Sheppard Street,West,Richmond Street West and a point 30 metres south,"3:30 p.m. to 9:30 a.m., Mon. to Fri.; Anytime Sat., Sun and public holidays","{'start_intersection': 'Richmond Street West', 'distance': '30', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Victoria Street (TO),East,A point 29 metres north of Colborne Street and King Street East,Anytime,"{'distance': '29', 'direction': 'north', 'start_intersection': 'Colborne Street', 'end_intersection': 'King Street East', 'rule_type': 'offset_to_intersect'}"
Walker Road,Both,Franklin Avenue and Cameron Avenue,Anytime,"{'start_intersection': 'Franklin Avenue', 'end_intersection': 'Cameron Avenue', 'rule_type': 'block'}"
Botham Road,East,Stuart Crescent (north intersection) and a point 86 metres south,"8:00 a.m. to 4:00 p.m., Mon. to Fri.","{'start_intersection': 'Stuart Crescent (north intersection)', 'distance': '86', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Dolly Varden Boulevard,North and west,Daventry Road and Bluefin Crescent (north intersection),2:00 a.m. to 6:00 a.m.,"{'start_intersection': 'Daventry Road', 'end_intersection': 'Bluefin Crescent (north intersection)', 'rule_type': 'block'}"
Bluefin Crescent,Both,Dolly Varden Boulevard (southwest intersection) and Dolly Varden Boulevard (northeast intersection),2:00 a.m. to 6:00 a.m.,"{'start_intersection': 'Dolly Varden Boulevard (southwest intersection)', 'end_intersection': 'Dolly Varden Boulevard (northeast intersection)', 'rule_type': 'block'}"
Victoria Street (TO),East,A point 53 metres south of Adelaide Street East and a point 29 metres further south,Anytime,"{'dist1': '53', 'dir1': 'south', 'start_intersection': 'Adelaide Street East', 'dist2': '29', 'rule_type': 'relative_extension'}"
Victoria Street (TO),West,A point 85 metres north of Adelaide Street East and Queen Street East,Anytime,"{'distance': '85', 'direction': 'north', 'start_intersection': 'Adelaide Street East', 'end_intersection': 'Queen Street East', 'rule_type': 'offset_to_intersect'}"
Botham Road,West,Stuart Avenue and a point 78 metres south,"9:00 a.m. to 3:00 p.m., Mon. to Fri.","{'start_intersection': 'Stuart Avenue', 'distance': '78', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Stuart Crescent,Both,Botham Road (north intersection) and a point 23 metres east of Botham Road (south intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.","{'start_intersection': 'Botham Road (north intersection)', 'distance': '23', 'direction': 'east', 'offset_intersection': 'Botham Road (south intersection)', 'rule_type': 'intersect_to_offset'}"
Gough Avenue,West,Harcourt Avenue and a point 29.5 metres south of Danforth Avenue,Anytime,"{'start_intersection': 'Harcourt Avenue', 'distance': '29.5', 'direction': 'south', 'offset_intersection': 'Danforth Avenue', 'rule_type': 'intersect_to_offset'}"
Victoria Street (TO),West,Adelaide Street East and a point 42 metres north,Anytime,"{'start_intersection': 'Adelaide Street East', 'distance': '42', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Victoria Street (TO),West,Colborne Street and King Street East,Anytime,"{'start_intersection': 'Colborne Street', 'end_intersection': 'King Street East', 'rule_type': 'block'}"
Bowmore Road,West,A point 130 metres south of Gerrard Street East and a point 19 metres further south,"9:30 a.m. to 11:30 a.m., 1:30 p.m. to 3:00 p.m., Mon. to Fri.","{'dist1': '130', 'dir1': 'south', 'start_intersection': 'Gerrard Street East', 'dist2': '19', 'rule_type': 'relative_extension'}"
Edwin Avenue,West,Edith Avenue and a point 69 metres north,"8:30 a.m. to 5:30 p.m., Mon. to Fri.","{'start_intersection': 'Edith Avenue', 'distance': '69', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Scott Street,East,A point 36 metres north of The Esplanade and Scott Lane,Anytime,"{'distance': '36', 'direction': 'north', 'start_intersection': 'The Esplanade', 'end_intersection': 'Scott Lane', 'rule_type': 'offset_to_intersect'}"
Frederick Street,East,A point 60.5 metres north of Front Street East and King Street East,Anytime,"{'distance': '60.5', 'direction': 'north', 'start_intersection': 'Front Street East', 'end_intersection': 'King Street East', 'rule_type': 'offset_to_intersect'}"
Edwin Avenue,West,A point 69 metres north of Edith Avenue and the north end of Edwin Avenue,"9:00 a.m. to 3:30 p.m. and 3:45 p.m. to 5:30 p.m., Mon. to Fri.","{'distance': '69', 'direction': 'north', 'start_intersection': 'Edith Avenue', 'end_intersection': 'the north end of Edwin Avenue', 'rule_type': 'offset_to_intersect'}"
Spruce Street,North,A point 17 metres east of Dyer Lane and River Street,Anytime,"{'distance': '17', 'direction': 'east', 'start_intersection': 'Dyer Lane', 'end_intersection': 'River Street', 'rule_type': 'offset_to_intersect'}"
Wolseley Street,North,Ryerson Avenue and Denison Avenue,"16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Ryerson Avenue', 'end_intersection': 'Denison Avenue', 'rule_type': 'block'}"
Wolseley Street,South,Ryerson Avenue and a point 30.5 metres west of Denison Avenue,"First day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Ryerson Avenue', 'distance': '30.5', 'direction': 'west', 'offset_intersection': 'Denison Avenue', 'rule_type': 'intersect_to_offset'}"
Windsor Street (TO),East,A point 50 metres north of Front Street West and a point 38 metres south of Wellington Street West,Anytime,"{'start_intersection': 'A point 50 metres north of Front Street West', 'distance': '38', 'direction': 'south', 'offset_intersection': 'Wellington Street West', 'rule_type': 'intersect_to_offset'}"
Windsor Street (TO),West,Front Street West and Wellington Street West,Anytime,"{'start_intersection': 'Front Street West', 'end_intersection': 'Wellington Street West', 'rule_type': 'block'}"
Simpson Avenue,South,A point 19 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'dist1': '19', 'dir1': 'west', 'start_intersection': 'Carlaw Avenue', 'dist2': '11', 'rule_type': 'relative_extension'}"
Simpson Avenue,South,A point 66 metres west of Carlaw Avenue and a point 11 metres further west,"Anytime from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'dist1': '66', 'dir1': 'west', 'start_intersection': 'Carlaw Avenue', 'dist2': '11', 'rule_type': 'relative_extension'}"
Benbow Road,East,A point 72 metres south of Saskatoon Drive and a point 80 metres further south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '72', 'dir1': 'south', 'start_intersection': 'Saskatoon Drive', 'dist2': '80', 'rule_type': 'relative_extension'}"
Wolseley Street,South,Ryerson Avenue and Denison Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Ryerson Avenue', 'end_intersection': 'Denison Avenue', 'rule_type': 'block'}"
York Street,East,A point 38 metres north of King Street West and a point 28 metres north,"6:30 p.m. to 7:30 a.m. Mon. to Fri.; Anytime Sat., Sun. and public holidays","{'start_intersection': 'A point 38 metres north of King Street West', 'distance': '28', 'direction': 'north', 'rule_type': 'perfect_offset'}"
York Street,East,King Street West and a point 38 metres north,Anytime,"{'start_intersection': 'King Street West', 'distance': '38', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Charles Street West,South,Queens Park and a point 52 metres west of St. Thomas Street,Anytime,"{'start_intersection': 'Queens Park', 'distance': '52', 'direction': 'west', 'offset_intersection': 'St. Thomas Street', 'rule_type': 'intersect_to_offset'}"
